User,Community_ID,User_type
suvorova2206,0,agent
alexanderratnikov,0,agent
a.sergeeva,0,agent
idinyshina,0,agent
avrorin,0,agent
id115857689,0,agent
girmankate,0,agent
tikhomirovadv,0,agent
fotostudiomel,0,agent
rafkat,0,agent
valeria.kosenkova,0,agent
anastasiyapereverzeva,0,agent
igormalakhov,0,agent
olgavitalievnafomina,0,agent
valeriap,0,agent
annaleonastage,0,agent
poilki,0,agent
id86162332,0,agent
liubaeva,0,agent
maximnikitin007,0,agent
antoniomitrofani,0,agent
katyasidorova,0,agent
kovalevea,0,agent
ruslan1,0,agent
makvideo,0,agent
alievakat,0,agent
helendomatskikh,0,agent
fotoprokatplus,0,agent
id24026,0,agent
id2658310,0,agent
izoomrooddmitry,0,agent
leragansta,0,agent
wedding,0,agent
maryzaikova,0,agent
diananovak,0,agent
irinalerman,0,agent
seregka,0,agent
varvlad,0,agent
leonastagestudio,0,agent
e.islamov,0,agent
andreevnamake,0,agent
katarinaseverenchuk,0,agent
juliakorchynova,0,agent
annaivanovaphotographer,0,agent
vital40in,0,leader
elenaaleksandrova07,0,agent
alexrogulin,0,agent
renokrenok,0,agent
anastasiavarlamova,0,follower
kosinovajulila,0,agent
bochkov,0,agent
susannamodels,0,agent
yana.shel,0,agent
royalwed,0,agent
flowersweddingspb,0,agent
daryateplo,0,agent
lindacherenkova,0,agent
alenam.designer,0,agent
id503,0,agent
id84635081,0,agent
popcornstudio,0,agent
asirotkin,0,agent
taisiiaorel,0,agent
vasilyeva.yulia,0,agent
mariaorlovskaya,0,agent
supermikeru,0,agent
useinfo,0,agent
dimatim,1,agent
ms.anastaisha,1,agent
leylaf,1,agent
bki2013,1,agent
vologdina,1,agent
esinsky,1,agent
mashkarin,1,agent
sechko1,1,agent
prokat,1,agent
engage,1,follower
chrisstar,1,agent
tourmix15,1,agent
fedchuk,1,agent
voinovskiy,1,agent
perovandrey86,1,agent
alexpeace,1,agent
abstemius,1,agent
id299814,1,agent
boojywoo,1,agent
vividj,1,agent
natakrutovanata2011,1,agent
landman,1,agent
makashenets,1,agent
creativereality,1,agent
vikiseleva,1,agent
kazansky,1,agent
id249122548,1,agent
kosmosst,1,agent
anonskinonoch,1,agent
id300666,1,agent
ekataev,1,agent
nikolyatsoy,1,agent
edwardskat,1,agent
deejay,1,agent
id7501,1,agent
anngelok,1,agent
polinagaevskaya,1,agent
darlingyulia,1,agent
nikolaysamoilov,1,agent
nikolalazarev,1,agent
semanin,1,agent
cocktailproject,1,agent
alionamarkovich,1,agent
sinart,1,agent
idtassssha,1,agent
chikulja,1,agent
pavelsinicin,1,leader
tanechka.tanyusha22,1,agent
lanly,1,agent
nineoneone,1,agent
alexandr.mishchenko,1,agent
id351803031,1,agent
smaistrov,1,agent
antonovalyubov,1,agent
id163007151,1,agent
fotoart,1,agent
shtepaigor,1,agent
romanmedvedev,1,agent
id73902851,1,agent
irinazinger,1,agent
maksimkarpov,1,agent
shevelkovivan,1,agent
rostovastar,1,agent
freez,1,agent
maximilianlapin,1,agent
id118649194,1,agent
belochkinaolesya,1,agent
stunt78,1,agent
id81681113,1,agent
id20897800,1,agent
rozo4kina,1,agent
id1934,1,agent
annarich84,1,agent
vkomnatke,1,agent
leonidshow,1,agent
sontales,1,agent
id33314,1,agent
djharisov,1,agent
tereshina,1,agent
id167709277,1,agent
vasilytsarev,1,agent
id37795,1,agent
brytalno,1,agent
belovachristina,1,agent
id300636,1,agent
id31107,1,agent
dziubadaria,1,agent
daskovsky,1,agent
gigatime,1,agent
i.krainyuk,1,agent
mensmerit,1,agent
mariiavip,1,agent
olegariodeep,1,agent
kackac,1,agent
glasir,1,agent
avikshaboyan,1,agent
julietta.leks,1,agent
sergin,1,agent
id187681,1,agent
cerber,1,agent
id23555,1,agent
grianart,1,agent
dvikhrov,1,agent
apollonovv,1,agent
lerentas,1,agent
averbakh,1,agent
id84324595,1,agent
seregapavlenko,1,agent
showmansmirnov,1,agent
id64739657,1,agent
igorneputin,1,agent
idguffik,1,agent
id16972546,1,agent
a.bratukhina,1,agent
angelinataburtsa,1,agent
vasiluk,1,agent
aleslizkov,1,agent
lauritaiynbor,1,agent
chernyshev,1,agent
kraevae,1,agent
vera1892,1,agent
id533,2,agent
egorfilatov,2,agent
fedor.tsarev,2,agent
vital,2,agent
o.polyakova,2,agent
anukhinpavel,2,agent
elnara,2,agent
skrendel,2,agent
almosyagin,2,agent
id12594,2,agent
artemenko,2,agent
litviak,2,agent
nikter,2,agent
pusev,2,agent
skipsky,2,agent
kapulkin,2,agent
elistratov,2,agent
quasikva,2,agent
shmakov,2,agent
septembreange,2,agent
tanushka,2,agent
valentinvd,2,agent
ivankozlov,2,agent
dmitry.antipov,2,agent
sammarize,2,agent
georgemavchun,2,agent
id375,2,agent
tlando,2,agent
unclekura,2,agent
egor,2,agent
poskryakov,2,agent
amosov,2,agent
ks.krapivina,2,agent
darushin,2,agent
id34,2,agent
burunduk3,2,agent
id2619,2,agent
aobogatov,2,agent
id7373,2,agent
kseyas,2,agent
id51210,2,agent
natalya,2,agent
id22772,2,agent
mikaza,2,agent
ay,2,leader
danushkin,2,agent
petrova,2,agent
zilberburg,2,agent
id1354,2,agent
george,2,agent
avsmal,2,agent
burunduk1,2,agent
digitalfarseer,2,agent
id23231,2,agent
lenauspenskaya,2,agent
pavel.fedotov,2,agent
andrew,2,agent
dievsky,2,agent
djack,2,agent
dorokhov,2,agent
fedorpetrov,2,agent
id212,2,agent
id29580,2,agent
kapnov,2,agent
id7705,2,agent
aalexeevru,2,agent
id25119,2,follower
romansemizarov,2,agent
id1091,2,agent
grich,2,agent
vsevolod.vlasov,2,agent
nikita.kalinin,2,agent
id5037,2,agent
id10235,2,agent
taniaprudnikova,2,agent
fotoruna1,2,agent
d.b.romanova,2,agent
andrewnovoselsky,2,agent
id7586,2,agent
id30380,2,agent
vyahhi,2,agent
olga.silina,2,agent
ok,2,agent
pavelkurnosenkov,3,agent
dimabumagin,3,agent
korlevna,3,agent
id26400,3,agent
strangerars,3,agent
kopotilov,3,agent
marinka.arkhipova,3,agent
id1087,3,agent
victoria.stepanova,3,agent
id2836,3,agent
tihiy,3,agent
mnbvc,3,agent
vyrelkin,3,agent
vinni,3,agent
id5047,3,follower
pasholikov,3,agent
bamurashev,3,agent
id8086,3,agent
frolovrn,3,agent
nemchikov,3,agent
golikova,3,agent
kasyanov.vitaliy,3,agent
id555,3,agent
id710,3,agent
zosser,3,agent
philippov,3,agent
tatarinov,3,agent
sitnikova,3,agent
liukonen,3,agent
annaslo,3,agent
daneliya,3,agent
id1675850,3,agent
alexdpi,3,agent
ekovalev,3,agent
karmannoezlo,3,agent
pavelangel,3,agent
savichev,3,leader
akren,3,agent
maxlykov,3,agent
valent,3,agent
id54927,3,agent
id40933,3,agent
zarubink,3,agent
iasonov,3,agent
artemkorenevsky,3,agent
muchkaev,3,agent
id56820,3,agent
izevsik,3,agent
id1218,3,agent
t.nikitina,3,agent
id2266,3,agent
novic,3,agent
stopmosk,3,agent
sanychbox,3,agent
simonkibalo,3,agent
baholdin,3,agent
id7189,3,agent
knyzeva,3,agent
temoshamedvedev,3,agent
timbogdanov,3,agent
khudyakova,3,agent
z.vasilisa,3,agent
nuidela,3,agent
belyiae,3,agent
samvelave,3,agent
isvetlo,3,agent
zlenko,3,agent
yurismirnov,3,agent
zdrobilko,3,agent
d.butikova,3,agent
nastyaskvirya,4,leader
dianati,4,leader
gurevic,4,leader
alexanderkadochnikov,4,leader
hulumulus,4,leader
baklanton,4,leader
valio,4,leader
chooev,4,leader
id94511618,4,leader
bobbyking,4,leader
vladimirtrudov,4,leader
lnekrasova,4,leader
elmirakachaeva,4,leader
cherenkovaveronika,4,leader
olyaflow,4,leader
aljaem,4,leader
stereoroma,4,leader
stigmat,4,leader
geldman,4,leader
anti,4,leader
hesarocker,4,leader
xristinaargentina,4,leader
zoyaskobeltsyna,4,leader
roman.sharafutdinov,4,leader
philipprus,4,leader
groovova,4,leader
impala64,4,leader
nataliageller,4,leader
estrin1,4,leader
smallfly,4,leader
